server_id,cpu_usage,memory_usage,disk_io,temperature,network_errors,uptime_hours,error_log_count,process_count,swap_usage,response_time_ms,failure
64,68.01,83.56,74.45,81.16,20,2261.21,45,305,75.36,1301.34,0
65,68.58,76.84,61.08,70.65,7,5433.02,32,244,55.45,955.54,0
66,13.1,49.22,35.14,60.4,10,3903.43,18,146,47.71,251.04,0
67,49.46,51.26,6.09,51.77,3,976.71,34,167,53.52,571.71,0
68,97.12,96.78,71.51,84.24,31,5757.94,58,413,95.87,1957.61,1
69,52.24,31.71,8.86,40.47,4,2360.08,13,181,54.25,319.95,0
70,81.74,77.97,47.1,73.63,21,5686.94,16,237,45.53,1298.58,0
71,57.18,24.92,27.14,68.13,13,1870.14,21,100,59.47,216.19,0
72,26.14,63.87,20.17,54.57,0,290.72,13,193,36.0,269.58,0
73,97.24,95.29,85.38,87.99,47,6191.28,50,454,81.39,1607.79,1
74,76.24,74.65,62.43,75.09,16,5024.94,25,389,60.93,584.76,0
75,33.82,27.3,36.89,62.06,11,801.4,5,81,38.19,638.76,0
76,71.0,60.36,70.79,67.88,3,107.48,24,412,37.16,1600.0,0
77,58.17,20.25,21.68,52.74,7,3679.5,12,154,44.25,412.47,0
78,10.79,56.49,11.57,70.75,2,1659.08,2,349,30.13,539.89,0
79,31.37,74.26,39.38,47.59,1,612.28,8,98,11.19,263.73,0
80,35.98,75.25,76.1,60.46,8,6897.72,10,316,23.95,1600.0,0
81,81.17,67.17,66.6,79.89,20,2173.21,30,235,81.68,1519.7,1
82,79.85,58.74,62.69,66.41,21,3417.73,47,326,41.82,1196.47,0
83,15.59,69.35,58.53,60.26,4,1397.49,25,319,53.23,704.09,0
84,62.12,62.71,50.11,67.03,10,2505.26,4,59,55.25,558.82,0
85,19.2,52.24,32.88,59.57,0,3488.62,32,219,41.8,831.02,0
86,59.48,39.13,44.07,58.1,3,3514.64,27,247,51.03,781.89,0
87,67.78,38.8,41.12,69.82,1,3748.98,24,70,18.06,640.27,0
88,66.3,29.97,4.32,63.72,8,3367.47,4,288,12.1,155.65,0
89,64.5,33.18,9.42,55.66,13,968.98,23,278,14.26,658.11,0
90,11.89,55.0,20.43,56.27,12,997.92,14,276,13.73,78.51,0
91,61.64,66.7,71.4,77.69,18,3586.35,32,233,53.78,977.42,0
92,23.27,74.32,61.36,41.26,9,3701.07,6,220,54.93,40.21,0
93,59.02,34.18,11.11,61.4,13,2227.49,20,133,46.17,176.47,0
94,97.12,89.38,87.48,99.92,45,6721.36,49,479,91.58,1469.84,1
95,16.05,21.0,6.14,61.86,0,1276.58,29,56,48.87,260.85,0
96,32.07,54.78,41.18,57.14,1,3341.37,11,105,2.45,535.89,0
97,64.2,80.81,60.49,77.01,5,1423.96,43,216,42.99,513.32,0
98,44.02,60.61,57.1,52.93,4,2670.71,28,278,47.87,397.67,0
99,92.0,38.6,72.69,48.12,6,7318.34,31,291,62.41,918.66,0
100,20.4,69.32,5.22,56.78,5,3929.53,3,169,58.17,780.3,0
101,89.56,92.98,84.17,83.78,23,5679.23,98,419,89.12,1518.46,1
102,29.42,43.4,32.99,47.76,1,2442.87,10,224,9.26,438.21,0
103,36.34,24.32,1.65,70.8,11,2784.2,14,101,9.39,232.72,0
104,87.44,76.07,63.3,78.7,18,4282.39,20,277,78.98,747.08,0
105,88.92,93.06,81.09,83.89,42,6274.31,90,482,83.45,1794.75,1
106,87.31,99.01,90.08,97.1,46,6935.75,73,431,85.66,1661.32,1
107,20.02,29.22,2.38,63.56,9,1899.05,29,291,35.12,782.76,0
108,30.46,26.24,60.11,68.07,3,2640.28,28,216,31.78,225.25,0
109,78.49,81.75,50.6,60.52,6,5839.3,26,376,66.24,920.13,0
110,14.97,53.17,15.95,52.46,4,1423.34,25,139,33.98,433.68,0
111,24.83,28.77,56.67,47.01,13,1348.25,6,286,39.52,453.39,0
112,97.05,98.81,83.01,98.47,30,8606.97,50,462,89.37,1633.2,1
113,56.53,44.93,34.09,54.1,5,2239.0,5,104,51.71,852.04,0
114,89.86,98.65,98.32,85.53,33,8679.01,72,483,91.36,1625.82,1
115,89.78,99.63,86.73,88.9,36,5092.98,69,455,89.27,1641.67,1
116,59.55,27.09,21.78,63.79,2,3272.05,29,202,0.38,265.46,0
117,33.63,55.82,6.93,61.05,13,193.8,34,172,52.25,706.32,0
118,21.69,34.62,48.61,49.37,5,3633.67,60,444,48.71,1600.0,0
119,60.68,84.11,50.92,72.95,10,5703.4,25,298,76.65,1426.13,0
120,61.74,72.94,72.26,71.48,5,4931.39,23,259,46.92,863.24,0
121,41.21,66.87,35.87,57.95,12,1614.53,4,58,45.31,562.08,0
122,63.98,59.25,52.13,62.53,16,1311.46,35,429,74.19,1176.74,0
123,70.42,70.12,57.58,75.32,21,2203.46,19,245,77.25,1210.39,0
124,70.66,85.73,74.72,80.15,18,2523.4,18,292,47.29,1264.45,0
125,24.16,24.04,11.03,56.63,4,3315.7,15,124,37.03,639.03,0
126,95.48,98.11,78.84,83.24,41,8053.46,85,397,94.82,1861.58,1
127,17.09,58.32,40.88,68.08,10,3214.12,9,103,45.04,728.08,0
128,57.79,46.48,7.63,44.01,9,1721.79,7,197,3.85,527.95,0
129,62.48,62.72,63.93,78.39,21,5665.57,40,296,66.72,1364.22,0
130,57.43,24.33,62.35,47.19,5,6841.74,60,96,63.83,943.99,0
131,68.28,29.95,55.54,55.75,3,3483.13,15,204,21.55,537.73,0
132,63.32,72.56,56.04,65.9,9,2203.88,3,172,22.36,241.18,0
133,69.69,89.15,65.64,80.56,7,5310.07,51,312,65.46,1341.29,0
134,47.02,73.97,41.07,48.31,8,2160.4,27,82,45.66,491.73,0
135,27.87,37.74,30.97,88.0,8,7704.51,60,168,2.13,766.89,0
136,49.29,66.62,26.79,47.17,10,8599.3,24,160,58.24,1018.16,0
137,86.64,76.06,72.77,82.11,8,2060.22,39,294,75.27,1490.03,1
138,72.72,84.55,43.92,72.21,7,2623.38,44,309,55.79,933.92,0
139,61.08,86.56,58.46,75.93,16,5475.59,40,341,42.8,1070.25,0
140,46.71,27.67,18.99,51.72,6,3140.92,6,204,35.54,51.34,0
141,52.5,66.04,45.34,61.76,8,3011.11,5,314,52.31,36.03,0
142,37.28,48.36,31.78,61.34,1,120.86,10,261,12.11,609.35,0
143,72.86,82.48,75.68,83.88,18,2577.03,42,300,50.7,1424.96,0
144,55.5,21.35,1.44,50.36,6,3081.86,23,183,16.42,897.44,0
145,98.81,94.86,74.74,94.83,43,5849.4,92,488,84.81,1990.13,1
146,94.81,89.6,92.46,88.4,19,6677.41,48,413,93.85,1438.55,1
147,51.7,67.31,50.69,41.27,6,420.62,8,345,8.55,454.01,0
148,37.76,36.58,48.59,56.09,3,3598.4,13,213,54.39,565.57,0
149,11.83,22.05,53.47,51.53,1,2089.45,26,114,37.37,85.96,0
150,23.48,44.88,9.16,45.64,6,1676.28,32,158,34.84,572.72,0
151,93.43,95.55,70.3,90.89,48,6711.08,82,417,95.25,1863.98,1
152,27.78,32.85,2.74,40.57,13,1711.66,13,253,13.1,855.47,0
153,96.4,89.53,97.09,97.49,39,7027.12,94,402,80.66,1544.47,1
154,66.49,68.68,63.78,72.42,21,1682.2,42,292,57.98,1289.36,0
155,41.42,29.54,72.29,46.31,1,271.28,32,187,7.93,158.9,0
156,99.91,98.68,88.7,92.68,38,5357.59,67,384,88.99,1726.27,1
157,95.85,94.95,72.9,87.11,19,6496.95,62,451,85.24,1580.65,1
158,15.22,49.54,38.14,63.85,6,511.19,9,158,38.76,517.99,0
159,65.21,83.09,58.33,72.07,7,1403.01,44,314,58.35,1302.46,0
160,14.02,61.25,13.64,68.74,2,763.56,1,191,33.89,68.48,0
161,88.27,89.14,86.79,91.97,41,8292.5,50,467,82.94,1915.05,1
162,79.39,89.69,45.14,62.6,17,3891.93,25,218,43.6,1483.61,0
163,58.45,69.29,20.67,43.52,3,1709.0,28,308,0.42,464.57,0
164,40.19,67.11,42.82,45.21,0,2570.03,0,225,56.41,522.17,0
165,63.4,38.59,24.41,43.01,8,144.73,16,212,17.19,535.84,0
166,28.97,47.9,2.7,44.75,13,3860.51,0,335,38.35,782.45,0
167,50.75,32.27,62.91,58.19,1,4815.0,24,302,85.0,624.98,0
168,95.22,97.43,95.38,93.43,21,6577.29,50,428,87.55,1440.54,1
169,87.04,70.14,52.47,72.65,12,1528.32,40,249,66.02,1215.22,0
170,46.8,43.0,60.63,67.71,0,106.44,13,293,59.24,143.87,0
171,46.03,56.58,11.4,69.26,5,1533.17,18,64,9.98,666.85,0
172,60.76,57.28,58.56,82.73,14,3489.06,19,351,74.53,918.46,0
173,89.19,99.6,97.28,95.28,35,8206.07,53,474,81.62,1876.73,1
174,29.16,72.25,61.79,58.35,8,1794.33,10,148,40.35,679.61,0
175,53.34,67.06,53.96,52.71,9,820.73,10,318,0.78,86.1,0
176,93.75,94.96,92.86,97.17,32,5787.94,60,403,80.21,1606.13,1
177,64.74,31.59,40.49,60.21,10,527.14,25,322,10.78,221.41,0
178,46.9,74.45,9.11,56.59,12,2963.33,24,260,21.57,271.3,0
179,40.74,93.0,57.71,88.0,14,8334.68,20,359,7.43,920.11,0
180,22.35,26.16,17.53,41.83,7,3746.49,1,86,27.13,841.15,0
181,67.33,63.64,76.25,66.24,9,4796.99,32,378,42.75,1036.33,0
182,32.47,72.29,47.58,59.16,2,624.82,2,309,36.07,640.18,0
183,89.75,98.19,70.44,89.44,29,4582.34,52,429,89.35,1643.17,1
184,54.16,46.86,42.55,88.0,2,668.78,38,321,34.43,297.85,0
185,21.11,49.8,56.74,63.43,11,2635.47,24,304,14.98,445.59,0
186,97.52,97.84,86.58,91.84,23,7802.97,60,439,84.97,1481.16,1
187,90.88,90.22,94.25,99.11,21,8568.79,74,415,80.61,1700.87,1
188,64.26,57.15,71.23,71.5,5,5974.33,17,359,81.31,763.1,0
189,30.05,62.4,6.93,42.4,10,1982.47,24,180,14.78,739.0,0
190,33.29,55.38,29.79,57.46,13,1545.02,33,321,11.75,71.73,0
191,12.36,63.97,40.81,42.62,12,3683.57,2,133,48.37,675.95,0
192,74.53,71.77,41.03,68.53,11,2994.11,38,322,65.53,1341.37,0
193,86.16,93.64,78.85,91.26,36,4686.33,52,447,86.21,1837.77,1
194,86.98,74.61,77.47,61.31,12,2300.79,44,425,50.77,1219.59,0
195,88.24,89.26,92.69,90.79,27,8334.35,52,494,85.59,1933.15,1
196,27.39,28.87,60.43,65.86,8,3485.97,28,105,53.55,490.01,0
197,46.48,41.01,17.62,88.0,10,3387.41,60,335,49.3,27.41,0
198,95.03,93.35,91.4,86.39,46,5724.36,65,386,81.34,1710.0,1
199,58.56,64.56,56.36,69.22,7,2006.56,27,244,42.12,718.26,0
200,89.64,98.98,90.12,92.53,22,6404.46,70,483,90.48,1628.86,1
201,17.32,47.23,2.24,69.1,3,2650.43,10,206,32.8,174.52,0
202,67.05,28.31,28.1,70.2,5,2554.47,13,132,59.04,374.31,0
203,42.95,59.3,42.91,48.96,13,2951.85,19,233,25.18,230.48,0
204,83.82,74.64,60.94,62.87,19,4614.07,17,362,62.83,589.9,0
205,73.03,57.1,62.49,83.94,7,4450.02,23,323,44.06,995.41,0
206,81.72,88.76,48.15,73.08,9,4964.27,38,345,73.51,935.57,0
207,92.0,35.05,50.8,63.66,10,8293.44,24,396,20.34,332.6,0
208,19.81,41.51,63.01,48.26,9,1301.44,27,89,58.19,413.87,0
209,21.07,31.51,24.08,55.5,8,1476.29,16,274,2.2,234.67,0
210,62.02,51.83,28.51,63.21,6,3493.82,31,176,16.61,537.19,0
211,47.09,58.64,36.38,40.31,4,2071.33,3,155,1.99,79.93,0
212,68.0,67.36,27.77,50.77,25,4429.85,36,191,61.93,1600.0,0
213,61.79,54.28,21.51,42.03,4,1301.41,25,241,53.23,430.27,0
214,41.96,22.85,21.88,44.3,0,3959.85,11,292,15.28,616.54,0
215,90.17,90.16,93.45,93.95,20,6033.81,97,440,88.09,1675.16,1
216,11.2,37.71,13.74,50.48,1,3562.22,20,253,47.35,453.61,0
217,15.09,74.27,24.33,51.86,11,3789.05,34,276,22.58,84.32,0
218,66.47,79.09,46.28,66.4,5,1466.57,23,333,42.97,103.36,0
219,69.9,63.29,71.22,66.87,18,3118.69,41,221,66.2,996.94,0
220,16.19,69.64,32.84,66.45,4,3582.2,13,53,54.32,91.25,0
221,63.65,32.65,13.85,41.0,9,1474.74,30,191,58.09,175.12,0
222,18.3,93.0,3.82,50.11,5,3256.93,36,354,85.0,1191.97,0
223,95.12,95.83,80.57,97.3,33,8670.99,80,395,93.2,1595.74,1
224,68.72,76.36,68.65,66.82,12,1609.43,22,356,47.62,1077.68,0
225,57.69,47.65,37.5,55.76,2,2890.09,9,57,38.73,167.63,0
226,97.75,89.04,77.4,95.6,28,4934.06,65,412,96.7,1588.7,1
227,13.47,73.3,57.45,69.69,13,696.41,13,277,41.76,146.97,0
228,69.09,66.14,8.1,69.47,12,2075.83,20,169,3.29,308.33,0
229,81.19,73.18,48.2,81.95,19,5352.89,24,303,81.37,1349.21,0
230,97.25,94.56,99.01,90.1,49,7345.34,80,399,97.52,1657.07,1
231,69.43,42.69,24.18,64.85,4,3723.1,30,178,45.05,681.54,0
232,90.77,89.79,82.29,88.29,39,7080.62,65,406,99.75,1672.95,1
233,21.23,60.42,9.99,46.27,25,18.45,60,116,45.11,283.22,0
234,87.72,98.78,85.09,90.64,37,7161.58,49,461,84.08,1828.66,1
235,81.43,60.56,64.41,63.38,17,4284.78,53,215,42.4,810.41,0
236,67.75,33.85,32.32,49.63,3,148.51,21,200,3.09,258.0,0
237,10.73,73.34,2.81,68.52,7,3971.87,2,216,58.16,475.56,0
238,26.44,50.48,42.34,66.55,2,44.97,4,320,52.43,541.7,0
239,94.86,96.74,70.13,85.84,41,7338.8,98,471,98.97,1821.82,1
240,87.46,93.23,84.63,94.09,48,7058.77,86,440,92.32,1443.49,1
241,26.94,77.64,48.41,46.89,14,3828.65,39,153,46.26,1177.56,0
242,60.94,57.19,76.26,63.48,14,3055.48,28,406,40.92,1230.17,0
243,84.64,77.78,61.32,68.11,10,4347.43,54,352,63.43,1303.72,0
244,18.58,61.88,40.18,43.24,1,2804.18,2,296,42.37,82.4,0
245,95.61,89.77,75.25,97.55,26,8065.8,61,457,93.58,1708.08,1
246,39.83,53.98,56.48,58.26,0,3723.86,24,252,12.94,596.41,0
247,75.52,55.18,70.44,60.88,17,2012.4,53,284,53.73,663.78,0
248,99.68,90.22,82.68,83.71,41,8411.01,61,483,85.14,1946.55,1
249,86.87,98.72,83.45,91.68,38,8446.39,47,437,93.44,1833.9,1
250,46.45,29.38,4.23,70.36,13,3233.78,10,79,41.05,401.74,0
251,62.48,49.09,61.04,65.56,13,1403.5,26,170,28.79,568.48,0
252,58.77,74.98,64.78,57.77,10,3779.12,29,124,27.03,124.95,0
253,43.32,59.56,14.85,71.88,13,2601.65,6,254,4.33,37.28,0
254,11.24,73.35,54.11,46.79,2,734.43,10,207,25.92,269.19,0
255,14.81,69.21,35.59,66.15,6,2574.67,18,269,4.9,63.71,0
256,12.22,52.79,14.95,43.86,1,2785.46,11,267,3.92,290.61,0
257,37.34,54.11,18.03,46.02,6,1414.06,20,73,58.46,887.73,0
258,52.43,28.39,37.46,59.41,5,2946.04,32,327,27.05,110.78,0
259,72.83,71.96,46.63,83.64,19,4345.11,33,294,67.34,1099.98,0
260,39.5,46.04,11.26,53.88,5,2463.78,22,63,22.48,567.02,0
261,45.42,34.74,40.57,53.1,7,1745.07,10,334,45.82,134.7,0
262,45.65,40.95,63.04,66.95,11,1875.3,14,132,3.38,779.6,0
263,95.64,90.55,84.57,83.47,34,8606.71,66,384,79.65,1633.4,1
264,35.04,32.22,7.79,50.8,13,1293.49,18,260,21.82,874.89,0
265,23.86,56.95,1.28,43.33,11,715.0,22,121,5.97,226.42,0
266,76.82,73.05,76.78,72.42,21,5257.12,23,414,44.89,1399.19,0
267,18.92,37.13,1.14,58.61,7,5674.85,32,213,26.3,586.37,0
268,25.46,45.44,56.44,63.27,10,1702.55,12,161,59.26,45.7,0
269,61.71,93.0,5.31,40.48,3,6419.01,8,233,17.6,304.6,0
270,94.44,98.09,99.52,87.9,48,6159.19,66,420,90.37,1493.33,1
271,67.24,53.34,14.86,61.49,8,1433.29,3,251,31.22,697.36,0
272,51.89,49.49,20.12,66.04,9,651.31,31,296,56.99,655.89,0
273,83.17,80.68,70.77,60.28,12,3406.72,15,259,71.93,650.82,0
274,62.78,69.05,72.0,65.1,14,4665.36,39,243,54.93,1362.17,0
275,29.49,59.28,39.23,88.0,12,6891.78,2,443,50.49,987.76,0
276,82.9,62.47,60.23,81.02,17,3711.19,38,316,52.5,1121.52,0
277,64.9,72.59,55.95,63.66,11,1340.86,16,231,80.45,1104.48,0
278,37.55,73.9,32.02,50.52,8,961.34,2,88,7.68,145.19,0
279,47.76,58.27,29.55,60.08,8,3604.73,1,134,57.02,802.33,0
280,94.91,99.05,88.38,97.85,41,5013.58,94,387,90.21,1486.14,1
281,95.7,90.48,78.98,89.1,43,5687.52,57,494,79.19,1998.69,1
282,42.92,58.05,42.38,47.18,9,949.76,11,273,38.98,765.81,0
283,65.37,66.32,49.07,68.87,6,3595.3,17,384,49.82,1094.01,0
284,17.13,50.36,24.01,47.73,0,5095.43,1,430,11.39,1041.46,0
285,68.56,85.68,79.85,69.21,12,4610.35,50,336,56.44,953.88,0
286,91.67,98.97,79.64,91.1,26,7228.43,98,452,86.51,1789.04,1
287,24.25,40.53,14.77,42.34,8,2673.18,21,189,22.79,778.37,0
288,11.9,71.49,3.38,57.32,9,3484.01,24,290,20.37,735.19,0
289,82.76,80.13,78.22,60.46,8,1037.81,40,406,50.23,1519.74,0
290,57.96,58.21,17.69,58.89,5,367.24,32,91,57.01,406.95,0
291,32.4,34.89,41.86,53.08,0,625.45,25,247,1.63,207.56,0
292,97.47,94.95,91.31,88.34,33,8000.17,70,422,89.38,1897.12,1
293,35.57,44.83,10.64,65.43,9,883.86,2,254,39.27,253.2,0
294,45.99,64.17,69.08,88.0,6,8473.26,26,332,6.13,900.13,0
295,48.52,24.63,10.51,68.75,8,37.78,3,249,0.3,153.12,0
296,79.29,85.57,65.45,79.03,7,3307.79,15,256,70.51,1590.99,0
297,55.61,52.76,30.65,53.18,4,3718.19,29,339,7.46,660.47,0
298,62.42,74.12,49.94,53.37,5,2950.59,8,83,21.28,265.64,0
299,10.09,37.99,66.57,62.63,14,4012.58,33,362,1.53,1079.29,0
300,51.85,36.35,60.09,71.07,13,1897.38,30,303,19.15,747.73,0
